date,document_count,anomaly_type,description,nearby_event
2005-01,106,high_volume,"106 documents dated this month (avg: 18.4, threshold: 96.5)",
2007-01,103,high_volume,"103 documents dated this month (avg: 18.4, threshold: 96.5)",
2010-01,102,high_volume,"102 documents dated this month (avg: 18.4, threshold: 96.5)",
2011-03,166,high_volume,"166 documents dated this month (avg: 18.4, threshold: 96.5)",
2014-03,126,high_volume,"126 documents dated this month (avg: 18.4, threshold: 96.5)",
2015-01,222,high_volume,"222 documents dated this month (avg: 18.4, threshold: 96.5)",Prince Andrew allegations become public
2016-01,178,high_volume,"178 documents dated this month (avg: 18.4, threshold: 96.5)",
2016-02,108,high_volume,"108 documents dated this month (avg: 18.4, threshold: 96.5)",
2016-06,216,high_volume,"216 documents dated this month (avg: 18.4, threshold: 96.5)",
2016-07,100,high_volume,"100 documents dated this month (avg: 18.4, threshold: 96.5)",
2016-09,144,high_volume,"144 documents dated this month (avg: 18.4, threshold: 96.5)",
2016-10,133,high_volume,"133 documents dated this month (avg: 18.4, threshold: 96.5)",
2016-11,382,high_volume,"382 documents dated this month (avg: 18.4, threshold: 96.5)",
2016-12,130,high_volume,"130 documents dated this month (avg: 18.4, threshold: 96.5)",
2017-01,262,high_volume,"262 documents dated this month (avg: 18.4, threshold: 96.5)",
2017-02,210,high_volume,"210 documents dated this month (avg: 18.4, threshold: 96.5)",
2017-03,126,high_volume,"126 documents dated this month (avg: 18.4, threshold: 96.5)",
2017-04,153,high_volume,"153 documents dated this month (avg: 18.4, threshold: 96.5)",
2017-05,176,high_volume,"176 documents dated this month (avg: 18.4, threshold: 96.5)",
2017-09,156,high_volume,"156 documents dated this month (avg: 18.4, threshold: 96.5)",
2017-11,105,high_volume,"105 documents dated this month (avg: 18.4, threshold: 96.5)",
2017-12,149,high_volume,"149 documents dated this month (avg: 18.4, threshold: 96.5)",
2018-01,182,high_volume,"182 documents dated this month (avg: 18.4, threshold: 96.5)",
2018-03,138,high_volume,"138 documents dated this month (avg: 18.4, threshold: 96.5)",
2018-06,112,high_volume,"112 documents dated this month (avg: 18.4, threshold: 96.5)",
2018-07,166,high_volume,"166 documents dated this month (avg: 18.4, threshold: 96.5)",
2018-08,166,high_volume,"166 documents dated this month (avg: 18.4, threshold: 96.5)",
2018-09,183,high_volume,"183 documents dated this month (avg: 18.4, threshold: 96.5)",
2018-11,143,high_volume,"143 documents dated this month (avg: 18.4, threshold: 96.5)",
2018-12,162,high_volume,"162 documents dated this month (avg: 18.4, threshold: 96.5)",
2019-02,202,high_volume,"202 documents dated this month (avg: 18.4, threshold: 96.5)",
2019-03,133,high_volume,"133 documents dated this month (avg: 18.4, threshold: 96.5)",
2019-05,185,high_volume,"185 documents dated this month (avg: 18.4, threshold: 96.5)",
2019-06,123,high_volume,"123 documents dated this month (avg: 18.4, threshold: 96.5)",
